Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss
2015,ILLINOIS,17,Henderson,800,480,320,323.7488,194.24928,129.49952,0.4
2015,ILLINOIS,17,Knox,"1,100","1,050",50,445.1546,424.9203,20.2343,0.045454545
2015,ILLINOIS,17,Schuyler,"1,100","1,000",100,445.1546,404.686,40.4686,0.090909091
2015,ILLINOIS,17,Warren,900,120,780,364.2174,48.56232,315.65508,0.866666667
2015,ILLINOIS,17,Christian,"1,200","1,100",100,485.6232,445.1546,40.4686,0.083333333
2015,ILLINOIS,17,Greene,"1,900","1,800",100,768.9034,728.4348,40.4686,0.052631579
2015,ILLINOIS,17,Macoupin,"4,900","4,700",200,1982.9614,1902.0242,80.9372,0.040816327
2015,ILLINOIS,17,Madison,"18,500","17,600",900,7486.691,7122.4736,364.2174,0.048648649
2015,ILLINOIS,17,Montgomery,"6,100","5,650",450,2468.5846,2286.4759,182.1087,0.073770492
2015,ILLINOIS,17,Morgan,"1,100","1,000",100,445.1546,404.686,40.4686,0.090909091
2015,ILLINOIS,17,Pike,"2,700","2,500",200,1092.6522,1011.715,80.9372,0.074074074
2015,ILLINOIS,17,Sangamon,900,800,100,364.2174,323.7488,40.4686,0.111111111
2015,ILLINOIS,17,Scott,900,700,200,364.2174,283.2802,80.9372,0.222222222
2015,INDIANA,18,Bartholomew,"8,900","8,750",150,3601.7054,3541.0025,60.7029,0.016853933
2015,INDIANA,18,Boone,"2,800","2,700",100,1133.1208,1092.6522,40.4686,0.035714286
2015,INDIANA,18,Decatur,"5,000","4,800",200,2023.43,1942.4928,80.9372,0.04
2015,INDIANA,18,Grant,"2,500","2,150",350,1011.715,870.0749,141.6401,0.14
2015,INDIANA,18,Hamilton,"1,800","1,750",50,728.4348,708.2005,20.2343,0.027777778
2015,INDIANA,18,Hancock,"1,800","1,700",100,728.4348,687.9662,40.4686,0.055555556
2015,INDIANA,18,Hendricks,"2,000","1,980",20,809.372,801.27828,8.09372,0.01
2015,INDIANA,18,Howard,"2,000","1,950",50,809.372,789.1377,20.2343,0.025
2015,INDIANA,18,Rush,"4,500","4,450",50,1821.087,1800.8527,20.2343,0.011111111
2015,INDIANA,18,Shelby,"3,900","3,300",600,1578.2754,1335.4638,242.8116,0.153846154
2015,INDIANA,18,Tipton,"1,300","1,250",50,526.0918,505.8575,20.2343,0.038461538
2015,INDIANA,18,Blackford,"2,100","1,880",220,849.8406,760.80968,89.03092,0.104761905
2015,INDIANA,18,Fayette,"2,200","2,100",100,890.3092,849.8406,40.4686,0.045454545
2015,INDIANA,18,Henry,"3,600","3,350",250,1456.8696,1355.6981,101.1715,0.069444444
2015,INDIANA,18,Jay,"8,800","8,500",300,3561.2368,3439.831,121.4058,0.034090909
2015,INDIANA,18,Randolph,"4,800","4,550",250,1942.4928,1841.3213,101.1715,0.052083333
2015,INDIANA,18,Wayne,"2,800","2,700",100,1133.1208,1092.6522,40.4686,0.035714286
2015,INDIANA,18,Carroll,"4,100","3,800",300,1659.2126,1537.8068,121.4058,0.073170732
2015,INDIANA,18,Cass,"3,100","2,700",400,1254.5266,1092.6522,161.8744,0.129032258
2015,INDIANA,18,Elkhart,"2,500","2,300",200,1011.715,930.7778,80.9372,0.08
2015,INDIANA,18,Fulton,"1,700","1,200",500,687.9662,485.6232,202.343,0.294117647
2015,INDIANA,18,Kosciusko,"3,900","3,700",200,1578.2754,1497.3382,80.9372,0.051282051
2015,INDIANA,18,Marshall,"3,100","2,850",250,1254.5266,1153.3551,101.1715,0.080645161
2015,INDIANA,18,Miami,"4,300","4,100",200,1740.1498,1659.2126,80.9372,0.046511628
2015,INDIANA,18,St. Joseph,"2,100","2,050",50,849.8406,829.6063,20.2343,0.023809524
2015,INDIANA,18,Wabash,"3,700","3,400",300,1497.3382,1375.9324,121.4058,0.081081081
2015,INDIANA,18,Adams,"5,100","4,200",900,2063.8986,1699.6812,364.2174,0.176470588
2015,INDIANA,18,Allen,"7,400","5,400","2,000",2994.6764,2185.3044,809.372,0.27027027
2015,INDIANA,18,Huntington,"2,900","2,550",350,1173.5894,1031.9493,141.6401,0.120689655
2015,INDIANA,18,LaGrange,"1,500","1,250",250,607.029,505.8575,101.1715,0.166666667
2015,INDIANA,18,Noble,"3,900","3,800",100,1578.2754,1537.8068,40.4686,0.025641026
2015,INDIANA,18,Wells,"4,000","3,700",300,1618.744,1497.3382,121.4058,0.075
2015,INDIANA,18,Whitley,"6,400","6,350",50,2589.9904,2569.7561,20.2343,0.0078125
2015,INDIANA,18,LaPorte,"7,500","7,050",450,3035.145,2853.0363,182.1087,0.06
2015,INDIANA,18,Lake,"1,300","1,250",50,526.0918,505.8575,20.2343,0.038461538
2015,INDIANA,18,Porter,"2,000","1,800",200,809.372,728.4348,80.9372,0.1
2015,INDIANA,18,Starke,"1,100",500,600,445.1546,202.343,242.8116,0.545454545
2015,INDIANA,18,White,"2,300","1,700",600,930.7778,687.9662,242.8116,0.260869565
2015,INDIANA,18,Harrison,"3,100","2,100","1,000",1254.5266,849.8406,404.686,0.322580645
2015,INDIANA,18,Jackson,"5,100","4,230",870,2063.8986,1711.82178,352.07682,0.170588235
2015,INDIANA,18,Washington,"1,400",620,780,566.5604,250.90532,315.65508,0.557142857
2015,INDIANA,18,Franklin,"1,900","1,750",150,768.9034,708.2005,60.7029,0.078947368
2015,INDIANA,18,Jennings,"3,300","3,200",100,1335.4638,1294.9952,40.4686,0.03030303
2015,INDIANA,18,Ripley,"2,300","1,850",450,930.7778,748.6691,182.1087,0.195652174
2015,INDIANA,18,Daviess,"3,200","1,400","1,800",1294.9952,566.5604,728.4348,0.5625
2015,INDIANA,18,Dubois,"5,200","3,000","2,200",2104.3672,1214.058,890.3092,0.423076923
2015,INDIANA,18,Gibson,"16,800","16,000",800,6798.7248,6474.976,323.7488,0.047619048
2015,INDIANA,18,Greene,"1,100",650,450,445.1546,263.0459,182.1087,0.409090909
2015,INDIANA,18,Knox,"11,700","10,900",800,4734.8262,4411.0774,323.7488,0.068376068
2015,INDIANA,18,Martin,800,800,0,323.7488,323.7488,0,0
2015,INDIANA,18,Pike,"1,700","1,650",50,687.9662,667.7319,20.2343,0.029411765
2015,INDIANA,18,Posey,"20,000","19,300",700,8093.72,7810.4398,283.2802,0.035
2015,INDIANA,18,Sullivan,"2,900","2,600",300,1173.5894,1052.1836,121.4058,0.103448276
2015,INDIANA,18,Warrick,"4,200","3,800",400,1699.6812,1537.8068,161.8744,0.095238095
2015,INDIANA,18,Clay,600,550,50,242.8116,222.5773,20.2343,0.083333333
2015,INDIANA,18,Montgomery,"1,700","1,650",50,687.9662,667.7319,20.2343,0.029411765
2015,INDIANA,18,Parke,"2,000","1,600",400,809.372,647.4976,161.8744,0.2
2015,INDIANA,18,Tippecanoe,"3,500","3,350",150,1416.401,1355.6981,60.7029,0.042857143
2015,INDIANA,18,Vigo,"1,300","1,250",50,526.0918,505.8575,20.2343,0.038461538
2015,KANSAS,20,Barton,"158,500","157,230","1,270",64142.731,63628.77978,513.95122,0.008012618
2015,KANSAS,20,Dickinson,"140,000","139,500",500,56656.04,56453.697,202.343,0.003571429
2015,KANSAS,20,Ellis,"96,000","94,500","1,500",38849.856,38242.827,607.029,0.015625
2015,KANSAS,20,Ellsworth,"83,600","82,400","1,200",33831.7496,33346.1264,485.6232,0.014354067
2015,KANSAS,20,Marion,"127,400","126,500",900,51556.9964,51192.779,364.2174,0.007064364
2015,KANSAS,20,McPherson,"210,900","210,330",570,85348.2774,85117.60638,230.67102,0.002702703
2015,KANSAS,20,Rush,"110,900","109,320","1,580",44879.6774,44240.27352,639.40388,0.014247069
2015,KANSAS,20,Russell,"74,400","70,300","4,100",30108.6384,28449.4258,1659.2126,0.055107527
2015,KANSAS,20,Saline,"121,000","120,280",720,48967.006,48675.63208,291.37392,0.005950413
2015,KANSAS,20,Anderson,"15,400","14,900",500,6232.1644,6029.8214,202.343,0.032467532
2015,KANSAS,20,Chase,"10,500","10,400",100,4249.203,4208.7344,40.4686,0.00952381
2015,KANSAS,20,Coffey,"16,700","16,500",200,6758.2562,6677.319,80.9372,0.011976048
2015,KANSAS,20,Douglas,"4,600","4,220",380,1861.5556,1707.77492,153.78068,0.082608696
2015,KANSAS,20,Franklin,"14,400","14,300",100,5827.4784,5787.0098,40.4686,0.006944444
2015,KANSAS,20,Geary,"10,900","10,800",100,4411.0774,4370.6088,40.4686,0.009174312
2015,KANSAS,20,Linn,"8,600","7,860",740,3480.2996,3180.83196,299.46764,0.086046512
2015,KANSAS,20,Lyon,"15,700","15,400",300,6353.5702,6232.1644,121.4058,0.01910828
2015,KANSAS,20,Miami,"8,800","8,310",490,3561.2368,3362.94066,198.29614,0.055681818
2015,KANSAS,20,Morris,"29,100","28,700",400,11776.3626,11614.4882,161.8744,0.013745704
2015,KANSAS,20,Osage,"11,400","11,300",100,4613.4204,4572.9518,40.4686,0.00877193
2015,KANSAS,20,Shawnee,"6,300","6,030",270,2549.5218,2440.25658,109.26522,0.042857143
2015,KANSAS,20,Jewell,"123,600","117,400","6,200",50019.1896,47510.1364,2509.0532,0.050161812
2015,KANSAS,20,Mitchell,"160,800","153,750","7,050",65073.5088,62220.4725,2853.0363,0.043843284
2015,KANSAS,20,Osborne,"117,100","110,400","6,700",47388.7306,44677.3344,2711.3962,0.057216055
2015,KANSAS,20,Ottawa,"93,100","91,450","1,650",37676.2666,37008.5347,667.7319,0.017722879
2015,KANSAS,20,Phillips,"94,100","84,900","9,200",38080.9526,34357.8414,3723.1112,0.097768332
2015,KANSAS,20,Republic,"70,900","65,340","5,560",28692.2374,26442.18324,2250.05416,0.07842031
2015,KANSAS,20,Smith,"126,700","110,000","16,700",51273.7162,44515.46,6758.2562,0.131807419
2015,KANSAS,20,Washington,"61,400","58,200","3,200",24847.7204,23552.7252,1294.9952,0.052117264
2015,KANSAS,20,Atchison,"2,100","1,830",270,849.8406,740.57538,109.26522,0.128571429
2015,KANSAS,20,Brown,"3,900","3,260",640,1578.2754,1319.27636,258.99904,0.164102564
2015,KANSAS,20,Jackson,"6,200","6,040",160,2509.0532,2444.30344,64.74976,0.025806452
2015,KANSAS,20,Jefferson,"3,600","3,520",80,1456.8696,1424.49472,32.37488,0.022222222
2015,KANSAS,20,Leavenworth,"3,200","3,120",80,1294.9952,1262.62032,32.37488,0.025
2015,KANSAS,20,Pottawatomie,"4,800","4,620",180,1942.4928,1869.64932,72.84348,0.0375
2015,KANSAS,20,Cheyenne,"137,400","128,810","8,590",55603.8564,52127.60366,3476.25274,0.062518195
2015,KANSAS,20,Decatur,"108,900","104,300","4,600",44070.3054,42208.7498,1861.5556,0.042240588
2015,KANSAS,20,Norton,"94,700","82,560","12,140",38323.7642,33410.87616,4912.88804,0.128194298
2015,KANSAS,20,Rawlins,"153,300","142,370","10,930",62038.3638,57615.14582,4423.21798,0.071298108
2015,KANSAS,20,Sherman,"182,400","172,500","9,900",73814.7264,69808.335,4006.3914,0.054276316
2015,KANSAS,20,Thomas,"197,800","185,600","12,200",80046.8908,75109.7216,4937.1692,0.061678463
2015,KANSAS,20,Comanche,"45,600","44,880",720,18453.6816,18162.30768,291.37392,0.015789474
2015,KANSAS,20,Edwards,"110,200","109,000","1,200",44596.3972,44110.774,485.6232,0.010889292
2015,KANSAS,20,Harper,"221,300","216,220","5,080",89557.0118,87501.20692,2055.80488,0.022955264
2015,KANSAS,20,Harvey,"111,300","110,930",370,45041.5518,44891.81798,149.73382,0.003324349
2015,KANSAS,20,Kingman,"189,800","188,330","1,470",76809.4028,76214.51438,594.88842,0.007744995
2015,KANSAS,20,Pawnee,"136,200","135,300",900,55118.2332,54754.0158,364.2174,0.00660793
2015,KANSAS,20,Pratt,"177,600","176,500","1,100",71872.2336,71427.079,445.1546,0.006193694
2015,KANSAS,20,Reno,"227,900","225,200","2,700",92227.9394,91135.2872,1092.6522,0.011847301
2015,KANSAS,20,Sedgwick,"175,600","174,010","1,590",71062.8616,70419.41086,643.45074,0.00905467
2015,KANSAS,20,Stafford,"134,000","132,800","1,200",54227.924,53742.3008,485.6232,0.008955224
2015,KANSAS,20,Sumner,"367,300","354,770","12,530",148641.1678,143570.4522,5070.71558,0.034113803
2015,KANSAS,20,Allen,"24,800","24,500",300,10036.2128,9914.807,121.4058,0.012096774
2015,KANSAS,20,Bourbon,"6,600","6,210",390,2670.9276,2513.10006,157.82754,0.059090909
