Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,Aug-20,09-Mar,Sep-17,10-Jan,Oct-15,Oct-29,11-Dec,Nov-26,12-Oct,Dec-24,01-Jul,Jan-21,02-Apr,Feb-18,03-Apr,Mar-18,04-Jan,Apr-15,Apr-29,May-13,May-27,06-Oct,Jun-24,07-Aug,Jul-22,08-May,Aug-19,03-Mar,Mar-17,Mar-31,Apr-14,Apr-28,05-Dec,May-26,06-Sep,Jun-23,07-Jul,Jul-21,08-Apr,Aug-18
2015,WISCONSIN,55,Kenosha,"4,700","4,400",300,1902.0242,1780.6184,121.4058,0.063829787,0.121033814,0.727024936,0.516114584,0.27654281,0.280011122,0.057478537,,0.046689732,,0.284589192,0.036794783,,0.015344642,,,0.242100389,0.077462651,0.376787699,0.028051613,0.72903805,0.748210322,,,0.139075324,0.382345394,,0.236889897,,,,,,,,,,,,,
2015,WISCONSIN,55,Ozaukee,"3,900","3,800",100,1578.2754,1537.8068,40.4686,0.025641026,0.112924803,0.633554198,0.540905087,0.340289412,0.283200166,0.047537542,,0.058653091,,0.244047366,0.047236259,,0.044525718,,,0.169191399,0.062824064,0.24772681,0.031499925,0.622569104,0.686857486,,,0.302601451,0.301061913,,,,,,,,,,,,,,,
2015,WISCONSIN,55,Racine,"7,200","7,100",100,2913.7392,2873.2706,40.4686,0.013888889,0.198244475,0.730833129,0.523658421,0.345450177,0.283047724,0.050500296,,0.04263815,,0.277175576,0.033852912,,0.008262114,,,0.24137641,0.122581836,0.294804252,0.028244236,0.684533415,0.711156281,,,0.125561325,0.391240585,,0.204972659,,,,,,,,,,,,,
2015,WISCONSIN,55,Walworth,"6,700","6,600",100,2711.3962,2670.9276,40.4686,0.014925373,0.340051396,0.743750963,0.514633904,0.310685408,0.287799578,0.13424032,,0.139859199,0.057987354,0.282314055,0.027792114,,0.018626003,0.036710085,-0.010589343,0.211048113,0.238203291,0.398470429,0.027021428,0.723462793,0.578236124,,0.365903305,0.36249424,0.387922025,0.397893986,0.172908721,,,,,,,,,,,,,
2015,WISCONSIN,55,Washington,"4,400","4,350",50,1780.6184,1760.3841,20.2343,0.011363636,0.509300351,0.674702881,0.531775554,0.354043243,0.302859985,0.169542988,,0.126085012,0.125189517,0.272410774,0.03778603,,0.030645816,0.043828178,0.10328567,0.175383978,0.115337921,0.348449598,0.04060788,0.666969351,0.692280581,,0.403148487,0.393819947,0.374652255,0.413809972,,,,,,,,,,,,,,
2015,WISCONSIN,55,Crawford County,800,750,50,323.7488,303.5145,20.2343,0.0625,0.69863301,0.382356948,0.099402319,0.405369998,,0.240558589,,,,0.24878703,,,0.010665958,0.021020829,0.044863272,,0.253094157,0.30367985,0.170467238,0.448516615,0.425870335,0.069967691,,,0.334415936,0.136860438,0.09965037,,,,,,,,,,,,,
2015,WISCONSIN,55,Iowa,"4,200","4,000",200,1699.6812,1618.744,80.9372,0.047619048,0.6961774,0.621486526,0.096340575,0.294475183,0.328329297,0.315933539,,0.192492948,0.06262872,0.205329167,,,0.021335553,0.020251018,0.098305497,,0.265630297,0.373767833,0.288136376,0.449071951,0.515280515,0.011573246,0.467817667,0.539066675,0.425090238,0.359615538,0.141902253,,,,,,,,,,,,,
2015,WISCONSIN,55,Lafayette,"3,400","3,300",100,1375.9324,1335.4638,40.4686,0.029411765,0.734511238,0.604945597,0.124140424,0.147838342,0.288345383,0.309698061,0.071286109,0.248320771,0.059790843,0.109103039,,,0.019453783,0.018699698,0.028563123,,0.247730001,0.455961446,0.15567303,0.559352571,0.440339519,0.014196275,0.461757379,0.489204602,0.39305358,0.370992675,0.343541808,,,,,,,,,,,,,
2015,WISCONSIN,55,Richland,"1,700","1,300",400,687.9662,526.0918,161.8744,0.235294118,0.617591454,0.53464404,0.202976757,0.32080793,0.298380474,0.328465528,,0.121270072,0.090973588,0.263992123,,,0.030221898,0.029637435,0.165922845,,0.281961166,0.399084501,0.157825683,0.448678498,0.57634041,0.028568279,0.408500313,0.524804982,0.427698916,0.354104545,0.063039782,,,,,,,,,,,,,
2015,WISCONSIN,55,Sauk,"5,300","5,150",150,2144.8358,2084.1329,60.7029,0.028301887,0.639223101,0.612382377,0.168835786,0.346118943,0.316530475,0.311822618,,0.068100909,0.045886694,0.251302339,,,0.02943638,0.031173782,0.183975556,,0.256468668,0.387155608,0.159037405,0.555495878,0.625694756,0.057458698,0.51623639,0.477998351,0.394481826,0.305181747,0.064549344,,,,,,,,,,,,,
2015,WYOMING,56,Campbell County,"4,900","4,400",500,1982.9614,1780.6184,202.343,0.102040816,0.242217749,0.200352828,0.234218887,0.24979907,0.265882035,0.092177376,0.04540254,0.040625561,0.044092125,0.030568356,0.019031987,0.222622683,,0.044758666,0.149918013,0.215316513,0.226957342,0.180620695,0.257293258,0.378346516,0.454813274,0.547424071,0.496006893,0.319802507,0.252430955,0.254755366,0.248484867,,,,,,,,,,,,,
2015,WYOMING,56,Sheridan,"1,000",300,700,404.686,121.4058,283.2802,0.7,0.249243271,,0.246755613,0.274649965,0.291430056,0.168601037,0.065737647,0.075412334,0.04310872,0.024256963,-0.004747542,,0.090696058,0.036142455,0.151272824,0.227199739,0.18718174,0.175319502,,0.399348991,0.063292045,0.550064673,0.471925655,0.359358171,0.236414321,0.266128451,0.243831379,,,,,,,,,,,,,
2015,WYOMING,56,Goshen County,"24,500","20,100","4,400",9914.807,8134.1886,1780.6184,0.179591837,,0.269519298,0.197971412,0.26879791,0.258562399,0.33671473,0.208740396,0.286389595,0.108537797,,0.2170252,0.250367753,0.027256588,0.235188155,0.247879242,0.29686277,0.05460454,0.14804593,0.121743072,0.109965735,0.378994363,0.391697454,0.360720117,0.280792253,0.270440812,0.25451032,0.253687732,,,,,,,,,,,,,
2015,WYOMING,56,Laramie,"92,900","86,700","6,200",37595.3294,35086.2762,2509.0532,0.066738428,0.019017275,0.240494959,0.239935043,0.282338186,0.243781447,0.373236869,0.232653458,0.324999551,0.180723223,0.041777526,0.259798134,0.281095024,0.031400997,0.06437242,0.271451331,0.327488397,0.063678866,0.268404144,0.20801771,0.059975618,0.189534062,0.284458077,0.39363636,0.306889876,0.288022209,0.237929106,0.194803861,,,,,,,,,,,,,
2015,WYOMING,56,Platte,"10,600","9,900",700,4289.6716,4006.3914,283.2802,0.066037736,,0.258563143,0.264024537,0.271197991,0.323307256,0.287038223,0.259373743,0.285309396,0.195187945,,0.215946425,0.249665526,0.025220378,0.169259902,0.246462125,0.297931814,0.11605193,0.284727572,0.213673309,0.09018612,0.355418007,0.398431499,0.260228232,0.234919359,0.218114659,0.239148099,0.215409871,,,,,,,,,,,,,
2016,ARKANSAS,5,Conway County,"4,200","1,600","2,600",1699.6812,647.4976,1052.1836,0.619047619,0.258580753,0.349803363,0.404715228,0.300728728,0.267190568,,0.390693555,0.413130046,0.490148919,,0.412029727,0.436164136,0.380819061,,0.023223978,0.647636402,0.702524906,,0.692981657,0.525165851,0.39253121,0.389400865,0.282552124,0.481067711,0.53738069,0.489009415,0.513609015,,,,,,,,,,,,,
2016,ARKANSAS,5,Crittenden,"15,400","13,900","1,500",6232.1644,5625.1354,607.029,0.097402597,0.676834262,0.510529521,0.069856776,0.234166651,,,0.34359974,,0.485523691,0.269092902,0.182959339,0.062431166,,,0.179402699,0.291981322,0.690780875,0.279272741,0.633598467,0.321809669,,,0.29443044,0.304814593,0.311214808,0.244419361,0.34883142,,,,,,,,,,,,,
2016,ARKANSAS,5,Cross,"4,900","4,600",300,1982.9614,1861.5556,121.4058,0.06122449,0.770604378,0.385618176,0.107552511,0.219315207,0.241624349,,0.460176602,0.525784876,0.683136386,0.370386918,0.236714224,0.139675351,0.056340944,,,,,,,,,,,,,,,0.468572025,0.086606836,0.726166889,0.717196735,0.689175121,0.367039428,0.305265193,0.262746847,0.268437983,0.280255205,0.253068036,0.231153486,0.264110321
2016,ARKANSAS,5,Lee,"9,500","8,900",600,3844.517,3601.7054,242.8116,0.063157895,0.550450786,0.326944476,0.099285491,0.179765681,0.200129523,,0.301125954,0.555033765,0.408331208,0.316829588,0.190734016,,0.149263543,,,,,,,,,,,,,,,0.248185186,0.389218641,0.635378215,0.637501002,0.633269488,0.330165534,0.318183274,0.216568606,0.302508765,0.309518923,0.336752276,0.216490382,0.335586516
2016,ARKANSAS,5,Lonoke,"3,200","2,500",700,1294.9952,1011.715,283.2802,0.21875,0.068216608,,0.388114759,0.059196867,0.26746359,,0.386679035,0.421472316,0.519875738,,,,0.245844818,,,,,,,,,,,,,,,,0.434252463,0.72838091,,0.69508549,0.540148146,0.363257089,0.314021118,0.452187285,0.518931928,0.539941339,,
