Year,Planting_Dates,Harvesting_Dates,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Commodity,ACRES_PLANTED,ACRES_HARVESTED,YIELD_(BU/ACRE)
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,MARION,121,WHEAT,"21,800","20,700",65.7
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,RICHLAND,159,WHEAT,"15,200","14,700",64.9
2014,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,SHELBY,173,WHEAT,"8,500","8,050",76.1
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,BOONE,7,WHEAT,"3,600","1,550",74.2
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,DE KALB,37,WHEAT,"4,800","1,550",76.1
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,GRUNDY,63,WHEAT,"1,400","1,150",59.5
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,KANE,89,WHEAT,"2,200",900,70.3
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,MCHENRY,111,WHEAT,"4,200","3,100",71
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,WILL,197,WHEAT,"8,400","6,800",73.5
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,CARROLL,15,WHEAT,"1,600","1,100",70.1
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,OGLE,141,WHEAT,"3,800","2,250",73.8
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,STEPHENSON,177,WHEAT,"4,700","2,500",73.6
2014,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,WINNEBAGO,201,WHEAT,"3,700","2,900",68.3
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,FRANKLIN,55,WHEAT,"18,300","17,800",67.1
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,GALLATIN,59,WHEAT,"7,700","7,500",75.2
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,MASSAC,127,WHEAT,"5,800","5,300",52.3
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,SALINE,165,WHEAT,"4,100","3,800",58.2
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,WABASH,185,WHEAT,"7,300","7,100",61
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,WAYNE,191,WHEAT,"27,700","27,200",65.2
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,WHITE,193,WHEAT,"20,800","20,300",58.9
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,ALEXANDER,3,WHEAT,"3,400","3,200",45.3
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,CLINTON,27,WHEAT,"35,100","33,000",66.7
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,JACKSON,77,WHEAT,"18,200","17,600",66.4
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,JOHNSON,87,WHEAT,"2,000","1,400",67.1
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,MONROE,133,WHEAT,"31,200","30,300",73.7
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,PERRY,145,WHEAT,"29,200","28,000",60.7
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,PULASKI,153,WHEAT,"6,000","5,600",63.8
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,RANDOLPH,157,WHEAT,"35,800","34,500",74.4
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,ST CLAIR,163,WHEAT,"26,600","26,200",69.2
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,UNION,181,WHEAT,"2,300","2,200",54.5
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,WASHINGTON,189,WHEAT,"64,800","63,600",70.9
2014,28-Sep,19-Jul,ILLINOIS,17,SOUTHWEST,80,WILLIAMSON,199,WHEAT,"2,400","1,900",46.8
2014,28-Sep,19-Jul,ILLINOIS,17,WEST,30,BROWN,9,WHEAT,"1,500","1,400",55.6
2014,28-Sep,19-Jul,ILLINOIS,17,WEST,30,HANCOCK,67,WHEAT,"4,400","2,400",64.2
2014,28-Sep,19-Jul,ILLINOIS,17,WEST,30,KNOX,95,WHEAT,"1,000",800,63.3
2014,28-Sep,19-Jul,ILLINOIS,17,WEST,30,SCHUYLER,169,WHEAT,"1,800","1,600",59.4
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,BOND,5,WHEAT,"18,400","17,100",68
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,CHRISTIAN,21,WHEAT,"1,900","1,700",67.6
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,JERSEY,83,WHEAT,"2,900","2,800",67.1
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,MACOUPIN,117,WHEAT,"8,700","7,500",67.5
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,MADISON,119,WHEAT,"23,000","22,300",74.5
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,MONTGOMERY,135,WHEAT,"9,400","9,000",74.3
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,MORGAN,137,WHEAT,"2,100","1,900",76.3
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,PIKE,149,WHEAT,"4,700","4,400",68.6
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,SANGAMON,167,WHEAT,"1,500","1,400",75
2014,28-Sep,19-Jul,ILLINOIS,17,WEST SOUTHWEST,60,SCOTT,171,WHEAT,"1,400","1,300",76.9
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,BARTHOLOMEW,5,WHEAT,"8,700","8,330",86.8
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,CLINTON,23,WHEAT,"2,100","2,060",88.3
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,DECATUR,31,WHEAT,"4,800","4,550",73.8
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,GRANT,53,WHEAT,"2,800","2,750",84.7
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,HAMILTON,57,WHEAT,"1,800","1,790",76
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,HANCOCK,59,WHEAT,"2,200","2,100",84.8
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,HENDRICKS,63,WHEAT,"3,000","2,850",81.8
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,HOWARD,67,WHEAT,"2,400","2,250",88.4
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,JOHNSON,81,WHEAT,"2,900","2,700",79.3
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,MADISON,95,WHEAT,"1,200","1,160",83.3
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,MORGAN,109,WHEAT,"2,000","1,550",77.4
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,SHELBY,145,WHEAT,"5,000","4,650",74
2014,25-Sep,25-Jul,INDIANA,18,CENTRAL,50,TIPTON,159,WHEAT,"1,800","1,710",88.9
2014,25-Sep,25-Jul,INDIANA,18,EAST CENTRAL,60,BLACKFORD,9,WHEAT,"2,300","2,000",92
2014,25-Sep,25-Jul,INDIANA,18,EAST CENTRAL,60,DELAWARE,35,WHEAT,"2,100","1,610",75.8
