Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,Aug-20,09-Mar,Sep-17,10-Jan,Oct-15,Oct-29,11-Dec,Nov-26,12-Oct,Dec-24,01-Jul,Jan-21,02-Apr,Feb-18,03-Apr,Mar-18,04-Jan,Apr-15,Apr-29,May-13,May-27,06-Oct,Jun-24,07-Aug,Jul-22,08-May,Aug-19
2019,TENNESSEE,47,Maury,"2,400","1,080","1,320",971.2464,437.06088,534.18552,0.55,,0.420400189,0.312695364,0.366504514,0.150916142,,,,0.29693192,0.032788168,0.010941181,0.03240456,0.00827676,0.55549257,0.039483452,0.059859536,0.010108305,0.146302627,0.719740294,0.550923684,0.072899489,0.117551617,0.30118412,0.112607513,0.376266333,0.5955715,0.675138055
2019,TENNESSEE,47,Sumner,"6,500","5,420","1,080",2630.459,2193.39812,437.06088,0.166153846,0.691740026,0.462355546,0.328967948,0.336183486,0.266296665,0.034507271,0.437124271,0.449576154,0.388306318,0.042398011,-0.015262426,0.082681875,0.011329172,0.021662915,-0.016578454,-0.003623535,0.00429995,0.367119401,0.531681465,0.669670092,0.01933945,0.042357664,0.192053419,0.005473501,0.436273727,0.643935989,0.80605526
2019,TENNESSEE,47,Bledsoe,700,410,290,283.2802,165.92126,117.35894,0.414285714,0.41459806,0.664338352,0.545299415,0.540406599,0.154146207,0.146472813,0.385922412,0.386001644,-0.021767508,-0.028389413,0.011521601,0.285183903,0.046318512,0.009668917,0.192064195,0.200219398,0.467860101,0.038975056,0.274216508,0.340636983,0.324238856,0.307882244,0.346810303,0.111932188,0.217378887,0.400590578,0.597985931
2019,TENNESSEE,47,Coffee,"4,000","1,290","2,710",1618.744,522.04494,1096.69906,0.6775,0.521083029,0.320189011,0.459706028,0.494283972,0.207247744,0.066689614,0.388421001,0.391643661,0.111110062,0.040110057,0.035696813,0.299524357,0.124008584,0.00561402,0.451570335,0.031572139,0.126329197,0.09054168,0.233922912,0.54004469,0.043234287,0.037126084,0.43561872,0.460517809,0.280707796,0.771658792,0.602169393
2019,TENNESSEE,47,Franklin,"5,000","3,250","1,750",2023.43,1315.2295,708.2005,0.35,0.383096156,0.469786574,0.510672848,0.474482455,0.344697522,0.140672907,0.401633451,0.39193282,0.098396806,0.05676135,-0.005152908,0.501481709,0.059841865,0.010737591,0.453777058,0.060809044,0.036824263,0.189814553,0.137431964,0.32420607,0.023951459,0.097897619,0.533035756,0.573421544,0.445489386,0.733490437,0.663519457
2019,TENNESSEE,47,Lake,"8,100","6,650","1,450",3277.9566,2691.1619,586.7947,0.179012346,0.454994854,0.115030929,0.389111905,0.205898026,0.366369979,0.264476493,0.321142049,,0.30038499,0.013605859,0.003060161,0.199383273,0.024623272,0.004141348,0.035779788,0.596630841,0.23013524,0.785263477,0.019110419,0.056310075,0.23237719,0.274513597,0.264607981,0.389062814,0.031514082,0.621943269,0.470555817
2019,TENNESSEE,47,Obion,"13,200","12,200","1,000",5341.8552,4937.1692,404.686,0.075757576,0.553098656,0.166835625,0.400091074,0.307952227,0.366887335,0.351128057,0.34972279,0.061611973,0.209687664,0.02758863,0.002942812,0.152164853,0.025680124,0.014651577,0.052137152,0.5450884,0.147772982,0.776482716,0.019549325,0.211537913,0.382321766,0.294213516,0.363295527,0.455377763,0.003389113,0.774001421,0.804676069
2019,TENNESSEE,47,Tipton,"6,200","4,500","1,700",2509.0532,1821.087,687.9662,0.274193548,0.484343806,0.134420576,0.366428902,0.413681699,0.282962396,0.384406944,0.259410774,,0.240575395,0.018063269,0.015676997,0.283379097,0.021780362,0.00665846,0.004844411,0.565312607,0.270630764,0.7342138,0.014983474,0.117342963,0.374579416,0.257738689,0.100373815,0.246560375,-0.006800711,0.713392475,0.847281848
2019,TENNESSEE,47,Blount,"1,200",490,710,485.6232,198.29614,287.32706,0.591666667,0.435006476,0.686021658,0.614218343,0.407858162,0.529757668,,,,-0.004586683,0.024539549,0.037838599,0.416218461,0.331762,0.021493926,0.313666085,0.096713723,0.779025265,0.080685203,0.399790392,0.408161865,0.295842979,0.128344226,0.762066782,0.720670567,0.591494375,0.02462084,0.468639087
2019,TENNESSEE,47,Monroe,"2,500",680,"1,820",1011.715,275.18648,736.52852,0.728,0.144953401,0.502214601,0.419349173,0.353505441,0.340335357,,,0.427236574,-0.020550548,0.019443018,-0.001485204,0.202089392,0.182478778,0.015281421,0.409537239,0.012411001,0.750364747,0.073042351,0.24072284,0.236810393,0.254926726,0.096639569,0.377099881,0.473246718,0.610970383,0.195554551,0.582306124
2019,TENNESSEE,47,Carroll,"7,700","7,300",400,3116.0822,2954.2078,161.8744,0.051948052,0.531403836,0.117659776,,,,0.468713013,,,0.195959053,0.032935239,-0.010873889,0.05444012,0.026808124,0.011744871,0.050383861,0.059911546,0.037921121,0.687129572,0.010238739,0.51464506,0.013095343,0.632408886,0.606063862,0.573703653,0.67735841,0.64731959,0.413724443
2019,TENNESSEE,47,Crockett,"5,500","5,200",300,2225.773,2104.3672,121.4058,0.054545455,0.766512593,0.35575052,0.454080086,0.338837686,0.282470008,0.259444879,0.422716623,,0.222424647,0.006092735,0.39882936,0.134503532,0.022457806,0.014121534,0.54439185,0.671058243,0.233868716,0.833260487,0.015135314,0.529290404,0.276603246,0.168370635,0.25150726,0.481470963,-0.034606174,0.856419631,0.881959265
2019,TENNESSEE,47,Gibson,"39,200","37,000","2,200",15863.6912,14973.382,890.3092,0.056122449,0.348142517,0.138758706,0.330469264,0.302040168,0.259792975,0.309546838,0.399432662,,0.206950889,0.015805292,0.092842716,0.340648948,0.025386737,0.022515182,0.151640555,0.62681452,0.247966476,0.791430746,0.017068976,0.335329644,0.252696203,0.216245244,0.343724721,0.296344037,0.019005619,0.845377258,0.856912097
2019,TENNESSEE,47,Haywood,"13,400","9,200","4,200",5422.7924,3723.1112,1699.6812,0.313432836,0.705018158,0.159818973,0.397904573,0.269582414,0.189881801,0.299916759,0.423418209,,0.177401251,0.017398186,0.576847512,0.405944746,0.022819842,0.01549126,0.600279909,0.834878605,0.274506043,0.832169132,0.022432239,0.490339242,0.230639768,0.173182973,0.195794919,0.406341255,0.003694707,0.680757617,0.763950587
