Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,08-20,09-03,09-17,10-01,10-15,10-29,11-12,11-26,12-10,12-24,01-07,01-21,02-04,02-18,03-04,03-18,04-01,04-15,04-29,05-13,05-27,06-10,06-24,07-08,07-22,08-05,08-19
2021,INDIANA,18,Kosciusko,"4,800","3,110","1,690",1942.4928,1258.57346,683.91934,0.352083333,0.6564828336597286,0.3971563356755602,0.19628482957959426,0.25489252821873337,0.27021000504214004,0.11854735130105816,0.3133961339189924,0.031988403434313625,0.12780101450128795,0.004472816842177535,0.019447578558268768,-0.0002248448271162391,-0.0022096947114049422,0.028890196113449274,0.4167154580659202,0.0173857732873535,0.005820400477635229,0.44084390895814135,0.3884605325494635,0.5924027745508462,0.441338483160048,0.10656862694875106,0.27878421671283926,0.04008881498274418,0.3375859791306657,0.46448672190802276,0.44451528377383975
2021,INDIANA,18,Marshall,"2,300","1,920",380,930.7778,776.99712,153.78068,0.165217391,0.5456456416261897,0.35494552085865494,0.257522957859575,0.05506890519502706,0.026901878935228593,0.20331869111157225,0.30192647982461335,0.01696456361602567,0.03176135797493422,0.008238440711544491,0.021360298923087544,0.007712574431787925,0.0002945011409786506,0.12308962289375056,0.08938503817681126,0.027832689403589104,0.1268976728129056,0.5498567809891782,0.09691556776178485,0.4688319611022702,0.4916548440708806,0.036435100213132184,0.31337167199353216,0.2940200956040911,0.32104884815248036,0.4947217111427891,0.45038604780717423
2021,INDIANA,18,Miami,"4,600","3,900",700,1861.5556,1578.2754,283.2802,0.152173913,0.5142770280534974,0.33648246129553067,0.12264150942444767,0.22871012330988455,0.33512459387679067,0.38601055980871707,0.4965470440933376,0.035612853369278476,0.06129292705682313,0.018480977333567402,0.016664674074072183,-0.008693404493552928,-0.0032469296179231384,0.0415539693479959,0.3964337761743417,0.0238191722624752,0.12482260329047676,0.6629937173820033,0.20987049841165384,0.14020430193213967,0.47114858229213485,0.02843563544107403,0.2724963147163569,0.04108330312410083,0.12328403269325497,0.4457684738163933,0.3439339511955206
2021,INDIANA,18,Wabash,"5,200","4,500",700,2104.3672,1821.087,283.2802,0.134615385,0.5489238865550374,0.3371302121957992,0.12332632199162538,0.22706842235661934,0.30954549711222495,0.18878889351540215,0.4423776992142079,0.019135763782674856,0.05768055991144184,0.011241487496795237,0.02192155738033341,-0.004810260005751675,-0.0034498936180449155,0.03706406472701609,0.4795287338842983,0.003868850000419916,0.01288023031916914,0.5652810761028472,0.40712527601721465,0.018400652090314537,0.4665487979184763,0.020948992281976914,0.26100672642906453,0.037862943640713985,0.250651462308424,0.4349301281460794,0.2914664581780327
2021,INDIANA,18,Adams,"7,000","6,100",900,2832.802,2468.5846,364.2174,0.128571429,0.6667431562324833,0.3698057830587712,0.29499143624694213,0.19137492049887359,0.16300969730257006,0.28425996528551895,0.41577642318127134,-0.001524316595496182,0.017325233882312288,0.026497033599170276,0.0881371008317292,-0.013406095174051811,-0.0015933988869799047,0.1233370722394992,0.27010284918752675,0.17084134563031833,0.21399611675020946,0.7419841150840472,0.507781293288452,0.2525568477781227,0.3524795833715794,0.2600865308943617,0.2698476262234205,0.13001645458804706,0.325405944757654,0.34269480101393573,0.20831982882363947
2021,INDIANA,18,Allen,"12,800","10,700","2,100",5179.9808,4330.1402,849.8406,0.1640625,0.7669148184644863,0.3778289102025246,0.22591092859794906,0.2293127365057452,0.2814466146944972,0.1982531698944915,0.4665350789778645,-0.005068940247811214,0.05222347064821725,0.006702164988374245,0.027146695528937222,-0.0062279586811452665,0.0010003455005651613,0.05101084924264926,0.4760772253270696,0.04845102138923076,0.36281303905255063,0.6232877474145864,0.6273607729278754,0.13804138978046418,0.48439593789238744,0.36204826808855267,0.25922715236523597,0.029676037653680522,0.293635862688713,0.437313972250919,0.39642991599917726
2021,INDIANA,18,DeKalb,"12,300","10,500","1,800",4977.6378,4249.203,728.4348,0.146341463,0.7875315699372754,0.3664088631456451,0.19634132549326494,0.23592023059865266,0.27614408504902693,0.04899266691216288,0.25831779145100775,0.0013737543029884466,0.058277596833934846,0.013960280840978842,0.022875875210909096,0.005711495625925577,-0.0035018080439818645,0.08184502756981436,0.4033934905531538,0.04279963591733307,0.4016822858830438,0.4991309444904759,0.6317967286505956,0.6496681511442932,0.7445022338421318,0.301723143575711,0.256910751395429,0.02110711489257181,0.27636196595495893,0.34917485790647074,0.3724892474082998
2021,INDIANA,18,Huntington,"7,200","6,060","1,140",2913.7392,2452.39716,461.34204,0.158333333,0.68872514829585,0.346356749861139,0.17729901507701382,0.22994990427716325,0.3138583765024348,0.13857526067996898,0.4285242996600817,0.0016099485630731753,0.047893149546868304,0.0025084833442796987,0.0213846289653544,-0.002966069814127364,-0.005371634276942353,0.028397453792172938,0.4822052686490432,0.0010643151388629102,0.01917871537408548,0.5445118306792178,0.039891480780401556,0.0163403604645694,0.5258193960383466,0.06983787616611967,0.25316125086920127,0.030829633755352935,0.2816155882223643,0.4550365975316241,0.28240877909560047
2021,INDIANA,18,LaGrange,"2,000","1,670",330,809.372,675.82562,133.54638,0.165,0.6440308606948038,0.33696603923363444,0.2446633269736928,0.2999028968922569,0.33281355930927947,0.018764605579543667,0.2557468460988496,0.015533035720705388,0.11365703678290168,0.01007759511126453,0.02840260168535395,0.008427391239781154,-0.0028973113428790347,0.03551990895706103,0.36004524398787885,0.012039566875911999,0.3947016611659142,0.630421452895957,0.26397030657986337,0.7130138961925889,0.6637916138065895,0.020928403062868077,0.3360943587556102,0.03473261806410835,0.3953361590259731,0.5335890834344896,0.5118707899541657
2021,INDIANA,18,Noble,"5,600","4,700",900,2266.2416,1902.0242,364.2174,0.160714286,0.765688008873755,0.42871315125536397,0.17252011772983897,0.2784863629638955,0.2917523534185626,-0.0006461651817934495,0.29739910953785886,0.006140470642786916,0.07451927653073152,0.0056653893642476735,0.016752283515457038,0.0034668995533197675,-0.005222596152439718,0.04870165382716395,0.37725503661306015,0.01216874718970081,0.2807133929616336,0.5870241171660449,0.19752700993921268,0.7352107480786467,0.41141396897512056,0.030999733263340597,0.28802631839987436,0.02074714958335272,0.3428619912873178,0.4060312154401443,0.38636801537035415
